Chromagram_Mean,Chromagram_Median,Chromagram_Std,RootMeanSquare_Mean,RootMeanSquare_Median,RootMeanSquare_Std,SpectralCentroid_Mean,SpectralCentroid_Median,SpectralCentroid_Std,SpectralBandwidth_Mean,SpectralBandwidth_Median,SpectralBandwidth_Std,Rolloff_Mean,Rolloff_Median,Rolloff_Std,ZeroCrossingRate_Mean,ZeroCrossingRate_Median,ZeroCrossingRate_Std,MFCC1_Mean,MFCC1_Median,MFCC1_Std,MFCC2_Mean,MFCC2_Median,MFCC2_Std,MFCC3_Mean,MFCC3_Median,MFCC3_Std,MFCC4_Mean,MFCC4_Median,MFCC4_Std,MFCC5_Mean,MFCC5_Median,MFCC5_Std,MFCC6_Mean,MFCC6_Median,MFCC6_Std,MFCC7_Mean,MFCC7_Median,MFCC7_Std,MFCC8_Mean,MFCC8_Median,MFCC8_Std,MFCC9_Mean,MFCC9_Median,MFCC9_Std,MFCC10_Mean,MFCC10_Median,MFCC10_Std,MFCC11_Mean,MFCC11_Median,MFCC11_Std,MFCC12_Mean,MFCC12_Median,MFCC12_Std,MFCC13_Mean,MFCC13_Median,MFCC13_Std,MFCC14_Mean,MFCC14_Median,MFCC14_Std,MFCC15_Mean,MFCC15_Median,MFCC15_Std,MFCC16_Mean,MFCC16_Median,MFCC16_Std,MFCC17_Mean,MFCC17_Median,MFCC17_Std,MFCC18_Mean,MFCC18_Median,MFCC18_Std,MFCC19_Mean,MFCC19_Median,MFCC19_Std,MFCC20_Mean,MFCC20_Median,MFCC20_Std
0.5272606,0.5272606,0.0,0.019555224,0.019555224,0.0,1846.6170386665133,1846.6170386665133,0.0,2414.967512020521,2414.967512020521,0.0,3852.64892578125,3852.64892578125,0.0,0.06119678638599537,0.06119678638599537,0.0,-523.5239,-523.5239,0.0,32.221924,32.221924,0.0,4.52057,4.52057,0.0,4.9025335,4.9025335,0.0,-9.86979,-9.86979,0.0,1.8739563,1.8739563,0.0,-2.8209105,-2.8209105,0.0,0.27418143,0.27418143,0.0,-6.539695,-6.539695,0.0,-6.9839926,-6.9839926,0.0,-1.6971759,-1.6971759,0.0,-6.542916,-6.542916,0.0,-1.1340978,-1.1340978,0.0,-0.58412963,-0.58412963,0.0,-3.1356091,-3.1356091,0.0,2.1698549,2.1698549,0.0,-2.451481,-2.451481,0.0,-1.5981092,-1.5981092,0.0,-0.13492973,-0.13492973,0.0,2.109045,2.109045,0.0
0.4381503,0.4381503,0.0,0.037157062,0.037157062,0.0,1780.5497905207114,1780.5497905207114,0.0,2482.477541973865,2482.477541973865,0.0,4049.9369303385415,4049.9369303385415,0.0,0.041126392505787035,0.041126392505787035,0.0,-477.6875,-477.6875,0.0,24.07372,24.07372,0.0,1.5842153,1.5842153,0.0,6.610534,6.610534,0.0,-9.909894,-9.909894,0.0,1.8610281,1.8610281,0.0,-12.026507,-12.026507,0.0,-7.87243,-7.87243,0.0,-3.2733276,-3.2733276,0.0,-8.705148,-8.705148,0.0,-2.821522,-2.821522,0.0,-8.634288,-8.634288,0.0,-2.914659,-2.914659,0.0,-5.991202,-5.991202,0.0,-4.054061,-4.054061,0.0,3.978584,3.978584,0.0,-1.9937713,-1.9937713,0.0,10.0647135,10.0647135,0.0,13.324586,13.324586,0.0,10.214333,10.214333,0.0
0.26247016,0.26247016,0.0,0.057605904,0.057605904,0.0,2189.117847453665,2189.117847453665,0.0,2396.4950862649894,2396.4950862649894,0.0,4685.9141031901045,4685.9141031901045,0.0,0.07683534975405093,0.07683534975405093,0.0,-386.21252,-386.21252,0.0,23.375317,23.375317,0.0,-8.811989,-8.811989,0.0,-9.200091,-9.200091,0.0,-34.797092,-34.797092,0.0,5.8734517,5.8734517,0.0,-13.345924,-13.345924,0.0,-17.76506,-17.76506,0.0,-7.9707584,-7.9707584,0.0,-14.80771,-14.80771,0.0,-7.526663,-7.526663,0.0,-7.029707,-7.029707,0.0,2.904966,2.904966,0.0,4.9163857,4.9163857,0.0,10.237386,10.237386,0.0,25.397604,25.397604,0.0,7.943757,7.943757,0.0,14.634886,14.634886,0.0,8.769745,8.769745,0.0,0.00096215145,0.00096215145,0.0
0.3216182,0.3216182,0.0,0.04843094,0.04843094,0.0,1989.012748242026,1989.012748242026,0.0,2349.6515389518513,2349.6515389518513,0.0,4162.861633300781,4162.861633300781,0.0,0.07541910807291667,0.07541910807291667,0.0,-413.9838,-413.9838,0.0,29.756523,29.756523,0.0,-2.7801533,-2.7801533,0.0,-4.470952,-4.470952,0.0,-27.266348,-27.266348,0.0,4.392833,4.392833,0.0,-12.769073,-12.769073,0.0,-10.98753,-10.98753,0.0,-8.402666,-8.402666,0.0,-10.285932,-10.285932,0.0,-3.976001,-3.976001,0.0,-8.6916275,-8.6916275,0.0,-4.6974297,-4.6974297,0.0,-9.891582,-9.891582,0.0,-7.538852,-7.538852,0.0,6.790936,6.790936,0.0,2.9455793,2.9455793,0.0,23.21643,23.21643,0.0,24.246761,24.246761,0.0,12.734851,12.734851,0.0
0.29506335,0.29506335,0.0,0.045811113,0.045811113,0.0,2295.8259640479237,2295.8259640479237,0.0,2526.614193381956,2526.614193381956,0.0,5018.831380208333,5018.831380208333,0.0,0.07993683991608797,0.07993683991608797,0.0,-393.6109,-393.6109,0.0,25.728853,25.728853,0.0,-3.466768,-3.466768,0.0,11.829911,11.829911,0.0,-7.858793,-7.858793,0.0,0.32091126,0.32091126,0.0,-24.953856,-24.953856,0.0,-8.012698,-8.012698,0.0,-6.525205,-6.525205,0.0,-15.150249,-15.150249,0.0,-5.866377,-5.866377,0.0,-10.987865,-10.987865,0.0,-7.8262105,-7.8262105,0.0,-9.894042,-9.894042,0.0,-8.203407,-8.203407,0.0,2.2294729,2.2294729,0.0,-10.929008,-10.929008,0.0,1.1373876,1.1373876,0.0,4.3913555,4.3913555,0.0,1.8345563,1.8345563,0.0
0.22501251,0.22501251,0.0,0.040914323,0.040914323,0.0,2322.952298249895,2322.952298249895,0.0,2490.0052552520183,2490.0052552520183,0.0,4927.589416503906,4927.589416503906,0.0,0.08451221607349536,0.08451221607349536,0.0,-409.07788,-409.07788,0.0,26.850271,26.850271,0.0,-1.9741374,-1.9741374,0.0,-6.660536,-6.660536,0.0,-25.77881,-25.77881,0.0,2.8905537,2.8905537,0.0,-16.289019,-16.289019,0.0,-16.603249,-16.603249,0.0,-9.358751,-9.358751,0.0,-15.268551,-15.268551,0.0,-5.286607,-5.286607,0.0,-4.811618,-4.811618,0.0,8.371443,8.371443,0.0,-1.527432,-1.527432,0.0,-0.9781489,-0.9781489,0.0,12.570162,12.570162,0.0,1.6452914,1.6452914,0.0,20.889961,20.889961,0.0,21.02869,21.02869,0.0,11.11786,11.11786,0.0
0.2067766,0.2067766,0.0,0.04686145,0.04686145,0.0,2667.923865246075,2667.923865246075,0.0,2541.456885361425,2541.456885361425,0.0,5349.829610188802,5349.829610188802,0.0,0.09923412181712964,0.09923412181712964,0.0,-369.52072,-369.52072,0.0,17.832975,17.832975,0.0,-6.289237,-6.289237,0.0,2.2708004,2.2708004,0.0,-19.447426,-19.447426,0.0,-2.173609,-2.173609,0.0,-25.159925,-25.159925,0.0,-17.184385,-17.184385,0.0,-2.0577176,-2.0577176,0.0,-16.003462,-16.003462,0.0,-12.371963,-12.371963,0.0,-4.671365,-4.671365,0.0,3.9429731,3.9429731,0.0,8.212513,8.212513,0.0,16.319351,16.319351,0.0,32.201706,32.201706,0.0,8.124714,8.124714,0.0,13.082755,13.082755,0.0,6.1342688,6.1342688,0.0,-5.770153,-5.770153,0.0
0.20199905,0.20199905,0.0,0.049796347,0.049796347,0.0,2188.1659581355702,2188.1659581355702,0.0,2388.5630308982854,2388.5630308982854,0.0,4743.061828613281,4743.061828613281,0.0,0.07755872938368055,0.07755872938368055,0.0,-374.04843,-374.04843,0.0,36.955826,36.955826,0.0,-2.8801076,-2.8801076,0.0,0.30867144,0.30867144,0.0,-25.019121,-25.019121,0.0,1.5786868,1.5786868,0.0,-23.896544,-23.896544,0.0,-15.683348,-15.683348,0.0,-9.087135,-9.087135,0.0,-14.883986,-14.883986,0.0,-7.161106,-7.161106,0.0,-12.601848,-12.601848,0.0,-9.602302,-9.602302,0.0,-9.6933,-9.6933,0.0,-9.814339,-9.814339,0.0,8.512757,8.512757,0.0,-1.0837682,-1.0837682,0.0,21.792574,21.792574,0.0,24.017797,24.017797,0.0,8.947094,8.947094,0.0
0.30877322,0.30877322,0.0,0.0479218,0.0479218,0.0,1964.6942849057696,1964.6942849057696,0.0,2335.2585329493054,2335.2585329493054,0.0,4050.9089152018228,4050.9089152018228,0.0,0.06700642903645833,0.06700642903645833,0.0,-394.55902,-394.55902,0.0,38.47778,38.47778,0.0,-2.51581,-2.51581,0.0,8.008864,8.008864,0.0,-15.378319,-15.378319,0.0,0.83325684,0.83325684,0.0,-14.108409,-14.108409,0.0,-8.043555,-8.043555,0.0,-9.196326,-9.196326,0.0,-14.7583885,-14.7583885,0.0,-6.3061647,-6.3061647,0.0,-10.612077,-10.612077,0.0,-4.9048734,-4.9048734,0.0,-9.719177,-9.719177,0.0,-9.454031,-9.454031,0.0,1.2542245,1.2542245,0.0,-7.2816763,-7.2816763,0.0,2.9987392,2.9987392,0.0,7.698508,7.698508,0.0,3.6595182,3.6595182,0.0
0.39399496,0.39399496,0.0,0.04463453,0.04463453,0.0,2127.304808209259,2127.304808209259,0.0,2480.5486339461745,2480.5486339461745,0.0,4425.9206136067705,4425.9206136067705,0.0,0.06853230794270833,0.06853230794270833,0.0,-436.92947,-436.92947,0.0,24.931559,24.931559,0.0,3.114011,3.114011,0.0,2.092587,2.092587,0.0,-11.014065,-11.014065,0.0,2.363748,2.363748,0.0,-16.248926,-16.248926,0.0,-8.501479,-8.501479,0.0,-2.360376,-2.360376,0.0,-11.756055,-11.756055,0.0,-7.779278,-7.779278,0.0,-6.9656153,-6.9656153,0.0,-2.4574544,-2.4574544,0.0,-5.94224,-5.94224,0.0,0.03752249,0.03752249,0.0,10.059653,10.059653,0.0,6.3880944,6.3880944,0.0,18.801094,18.801094,0.0,14.559448,14.559448,0.0,5.401935,5.401935,0.0
